Category,Sound,URL
foley,crushing pills,https://actions.google.com/sounds/v1/foley/crushing_pills.ogg
foley,cutting fruit,https://actions.google.com/sounds/v1/foley/cutting_fruit.ogg
foley,dancing shoes on tile,https://actions.google.com/sounds/v1/foley/dancing_shoes_on_tile.ogg
foley,dancing the charelston,https://actions.google.com/sounds/v1/foley/dancing_the_charelston.ogg
foley,deep cross on wood,https://actions.google.com/sounds/v1/foley/deep_cross_on_wood.ogg
foley,dial turning,https://actions.google.com/sounds/v1/foley/dial_turning.ogg
foley,dishes rattle,https://actions.google.com/sounds/v1/foley/dishes_rattle.ogg
foley,distant footsteps on wood,https://actions.google.com/sounds/v1/foley/distant_footsteps_on_wood.ogg
foley,dragging on gravel,https://actions.google.com/sounds/v1/foley/dragging_on_gravel.ogg
foley,drawing on paper with charcoal,https://actions.google.com/sounds/v1/foley/drawing_on_paper_with_charcoal.ogg
foley,dress shoe jog on gravel,https://actions.google.com/sounds/v1/foley/dress_shoe_jog_on_gravel.ogg
foley,dress shoe jog on wood,https://actions.google.com/sounds/v1/foley/dress_shoe_jog_on_wood.ogg
foley,dress shoe run on concrete,https://actions.google.com/sounds/v1/foley/dress_shoe_run_on_concrete.ogg
foley,dress shoe run on gravel,https://actions.google.com/sounds/v1/foley/dress_shoe_run_on_gravel.ogg
foley,dress shoe run on wood,https://actions.google.com/sounds/v1/foley/dress_shoe_run_on_wood.ogg
foley,dress shoe sidestep on gravel,https://actions.google.com/sounds/v1/foley/dress_shoe_sidestep_on_gravel.ogg
foley,dress shoe sidestep on light grit,https://actions.google.com/sounds/v1/foley/dress_shoe_sidestep_on_light_grit.ogg
foley,dress shoe sidestep on wood,https://actions.google.com/sounds/v1/foley/dress_shoe_sidestep_on_wood.ogg
foley,dress shoe stumble concrete,https://actions.google.com/sounds/v1/foley/dress_shoe_stumble_concrete.ogg
foley,dress shoe stumble gravel,https://actions.google.com/sounds/v1/foley/dress_shoe_stumble_gravel.ogg
foley,dress shoe stumble light grit,https://actions.google.com/sounds/v1/foley/dress_shoe_stumble_light_grit.ogg
foley,dress shoe stumble wood,https://actions.google.com/sounds/v1/foley/dress_shoe_stumble_wood.ogg
foley,dress shoe turn concrete,https://actions.google.com/sounds/v1/foley/dress_shoe_turn_concrete.ogg
foley,dress shoe turn gravel,https://actions.google.com/sounds/v1/foley/dress_shoe_turn_gravel.ogg
foley,dress shoe turn wood,https://actions.google.com/sounds/v1/foley/dress_shoe_turn_wood.ogg
foley,dress shoe walk light grit,https://actions.google.com/sounds/v1/foley/dress_shoe_walk_light_grit.ogg
